observation_date,listing_price
2016-07-01,699000
2016-08-01,679950
2016-09-01,675000
2016-10-01,675000
2016-11-01,674847
2016-12-01,669500
2017-01-01,659950
2017-02-01,677000
2017-03-01,697872
2017-04-01,714900
2017-05-01,739000
2017-06-01,739850
2017-07-01,729000
2017-08-01,722000
2017-09-01,715000
2017-10-01,722500
2017-11-01,724500
2017-12-01,724900
2018-01-01,722000
2018-02-01,726000
2018-03-01,749894
2018-04-01,775250
2018-05-01,772450
2018-06-01,775000
2018-07-01,762500
2018-08-01,747000
2018-09-01,729900
2018-10-01,729000
2018-11-01,724922
2018-12-01,709000
2019-01-01,699000
2019-02-01,707500
2019-03-01,739571
2019-04-01,759450
2019-05-01,779499
2019-06-01,799000
2019-07-01,799000
2019-08-01,799000
2019-09-01,799000
2019-10-01,799000
2019-11-01,799000
2019-12-01,799000
2020-01-01,799900
2020-02-01,849950
2020-03-01,882500
2020-04-01,834500
2020-05-01,849900
2020-06-01,907495
2020-07-01,949925
2020-08-01,979000
2020-09-01,962250
2020-10-01,950000
2020-11-01,950000
2020-12-01,950000
2021-01-01,965000
2021-02-01,969606
2021-03-01,965000
2021-04-01,959950
2021-05-01,975000
2021-06-01,967000
2021-07-01,949000
2021-08-01,907475
2021-09-01,899450
2021-10-01,899000
2021-11-01,899000
2021-12-01,897000
2022-01-01,899000
2022-02-01,903450
2022-03-01,925750
2022-04-01,938000
2022-05-01,937500
2022-06-01,949000
2022-07-01,919000
2022-08-01,899775
2022-09-01,899000
2022-10-01,895000
2022-11-01,896000
2022-12-01,895000
2023-01-01,894500
2023-02-01,934000
2023-03-01,969500
2023-04-01,1037000
2023-05-01,1099500
2023-06-01,1099999
2023-07-01,1100000
2023-08-01,1098500
2023-09-01,1099000
2023-10-01,1084500
2023-11-01,1080975
2023-12-01,1032900
2024-01-01,1003125
2024-02-01,1049500
2024-03-01,1075000
2024-04-01,1099000
2024-05-01,1169944
2024-06-01,1175000
2024-07-01,1114975
2024-08-01,1098000
2024-09-01,1057000
2024-10-01,1050000
2024-11-01,1045000
2024-12-01,997000
