observation_date,listing_price
2016-07-01,710000
2016-08-01,697937
2016-09-01,692750
2016-10-01,699000
2016-11-01,699450
2016-12-01,719000
2017-01-01,709725
2017-02-01,754000
2017-03-01,764938
2017-04-01,769300
2017-05-01,758500
2017-06-01,749891
2017-07-01,755000
2017-08-01,749000
2017-09-01,749900
2017-10-01,757450
2017-11-01,749450
2017-12-01,749900
2018-01-01,748350
2018-02-01,738000
2018-03-01,729900
2018-04-01,750000
2018-05-01,741725
2018-06-01,739000
2018-07-01,739450
2018-08-01,717450
2018-09-01,699000
2018-10-01,696112
2018-11-01,684500
2018-12-01,680000
2019-01-01,683500
2019-02-01,682500
2019-03-01,691386
2019-04-01,699450
2019-05-01,701250
2019-06-01,719900
2019-07-01,731850
2019-08-01,737909
2019-09-01,749773
2019-10-01,753182
2019-11-01,725000
2019-12-01,757500
2020-01-01,783213
2020-02-01,795000
2020-03-01,812238
2020-04-01,772475
2020-05-01,792500
2020-06-01,811225
2020-07-01,827000
2020-08-01,829000
2020-09-01,849000
2020-10-01,824500
2020-11-01,799000
2020-12-01,819450
2021-01-01,825450
2021-02-01,879450
2021-03-01,854450
2021-04-01,870000
2021-05-01,869000
2021-06-01,864500
2021-07-01,879900
2021-08-01,849000
2021-09-01,864375
2021-10-01,869000
2021-11-01,885225
2021-12-01,894500
2022-01-01,898900
2022-02-01,895950
2022-03-01,928536
2022-04-01,899900
2022-05-01,914825
2022-06-01,929210
2022-07-01,899900
2022-08-01,892500
2022-09-01,879450
2022-10-01,859999
2022-11-01,875000
2022-12-01,871000
2023-01-01,873725
2023-02-01,932500
2023-03-01,944500
2023-04-01,985000
2023-05-01,1076408
2023-06-01,1018627
2023-07-01,1075000
2023-08-01,1021225
2023-09-01,1092500
2023-10-01,1050000
2023-11-01,1037222
2023-12-01,1049000
2024-01-01,1057000
2024-02-01,1095750
2024-03-01,1065000
2024-04-01,1094250
2024-05-01,1194000
2024-06-01,1100000
2024-07-01,1093500
2024-08-01,1050000
2024-09-01,999350
2024-10-01,999125
2024-11-01,999900
2024-12-01,999999
